Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,13275,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,7061,False
Latimeria chalumnae,411.9,11468,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,1290,False
Latimeria chalumnae,411.9,13760,False
Latimeria chalumnae,411.9,7074,False
Latimeria chalumnae,411.9,7078,False
Latimeria chalumnae,411.9,7083,False
Latimeria chalumnae,411.9,7087,False
Latimeria chalumnae,411.9,7100,False
Latimeria chalumnae,411.9,7106,False
Latimeria chalumnae,411.9,7108,False
Latimeria chalumnae,411.9,7114,False
Latimeria chalumnae,411.9,7121,False
Latimeria chalumnae,411.9,7147,False
Latimeria chalumnae,411.9,7877,False
Latimeria chalumnae,411.9,8199,False
Latimeria chalumnae,411.9,8259,False
Latimeria chalumnae,411.9,8280,False
Latimeria chalumnae,411.9,8364,False
Latimeria chalumnae,411.9,8366,False
Latimeria chalumnae,411.9,13379,False
Latimeria chalumnae,411.9,13383,False
Latimeria chalumnae,411.9,13387,False
Latimeria chalumnae,411.9,13392,False
Latimeria chalumnae,411.9,13405,False
Latimeria chalumnae,411.9,13406,False
Latimeria chalumnae,411.9,13468,False
Latimeria chalumnae,411.9,13470,False
Latimeria chalumnae,411.9,13473,False
Latimeria chalumnae,411.9,13477,False
Latimeria chalumnae,411.9,13491,False
Latimeria chalumnae,411.9,13496,False
Latimeria chalumnae,411.9,13514,False
Latimeria chalumnae,411.9,13516,False
Latimeria chalumnae,411.9,13517,False
Latimeria chalumnae,411.9,13518,False
Latimeria chalumnae,411.9,13524,False
Latimeria chalumnae,411.9,13584,False
Latimeria chalumnae,411.9,13585,False
Latimeria chalumnae,411.9,13587,False
Latimeria chalumnae,411.9,13592,False
Latimeria chalumnae,411.9,13593,False
Latimeria chalumnae,411.9,13595,False
Latimeria chalumnae,411.9,13596,False
Latimeria chalumnae,411.9,13606,False
Latimeria chalumnae,411.9,13607,False
Latimeria chalumnae,411.9,13611,False
Latimeria chalumnae,411.9,13612,False
Latimeria chalumnae,411.9,13615,False
Latimeria chalumnae,411.9,13623,False
Latimeria chalumnae,411.9,13638,False
Latimeria chalumnae,411.9,13657,False
Latimeria chalumnae,411.9,13659,False
Latimeria chalumnae,411.9,13660,False
Latimeria chalumnae,411.9,13687,False
Latimeria chalumnae,411.9,13720,False
Latimeria chalumnae,411.9,13773,False
Latimeria chalumnae,411.9,7073,False
Latimeria chalumnae,411.9,7081,False
Latimeria chalumnae,411.9,7091,False
Latimeria chalumnae,411.9,7092,False
Latimeria chalumnae,411.9,7101,False
Latimeria chalumnae,411.9,7115,False
Latimeria chalumnae,411.9,7130,False
Latimeria chalumnae,411.9,7144,False
Latimeria chalumnae,411.9,8342,False
Latimeria chalumnae,411.9,13372,False
Latimeria chalumnae,411.9,13374,False
Latimeria chalumnae,411.9,13375,False
Latimeria chalumnae,411.9,13376,False
Latimeria chalumnae,411.9,13377,False
Latimeria chalumnae,411.9,13378,False
Latimeria chalumnae,411.9,13381,False
Latimeria chalumnae,411.9,13382,False
Latimeria chalumnae,411.9,13384,False
Latimeria chalumnae,411.9,13385,False
Latimeria chalumnae,411.9,13389,False
Latimeria chalumnae,411.9,13390,False
Latimeria chalumnae,411.9,13391,False
Latimeria chalumnae,411.9,13393,False
Latimeria chalumnae,411.9,13395,False
Latimeria chalumnae,411.9,13400,False
Latimeria chalumnae,411.9,13401,False
Latimeria chalumnae,411.9,13403,False
Latimeria chalumnae,411.9,13404,False
Latimeria chalumnae,411.9,13407,False
Latimeria chalumnae,411.9,13408,False
Latimeria chalumnae,411.9,13410,False
Latimeria chalumnae,411.9,13412,False
Latimeria chalumnae,411.9,13417,False
Latimeria chalumnae,411.9,13419,False
Latimeria chalumnae,411.9,13436,False
Latimeria chalumnae,411.9,13469,False
Latimeria chalumnae,411.9,13471,False
Latimeria chalumnae,411.9,13475,False
Latimeria chalumnae,411.9,13476,False
Latimeria chalumnae,411.9,13480,False
Latimeria chalumnae,411.9,13481,False
Latimeria chalumnae,411.9,13482,False
Latimeria chalumnae,411.9,13484,False
Latimeria chalumnae,411.9,13485,False
Latimeria chalumnae,411.9,13487,False
Latimeria chalumnae,411.9,13489,False
Latimeria chalumnae,411.9,13490,False
Latimeria chalumnae,411.9,13492,False
Latimeria chalumnae,411.9,13493,False
Latimeria chalumnae,411.9,13494,False
Latimeria chalumnae,411.9,13495,False
Latimeria chalumnae,411.9,13498,False
Latimeria chalumnae,411.9,13499,False
Latimeria chalumnae,411.9,13500,False
Latimeria chalumnae,411.9,13502,False
Latimeria chalumnae,411.9,13511,False
Latimeria chalumnae,411.9,13512,False
Latimeria chalumnae,411.9,13513,False
Latimeria chalumnae,411.9,13521,False
Latimeria chalumnae,411.9,13523,False
Latimeria chalumnae,411.9,13525,False
Latimeria chalumnae,411.9,13527,False
Latimeria chalumnae,411.9,13531,False
Latimeria chalumnae,411.9,13536,False
Latimeria chalumnae,411.9,13539,False
Latimeria chalumnae,411.9,13540,False
Latimeria chalumnae,411.9,13549,False
Latimeria chalumnae,411.9,13550,False
Latimeria chalumnae,411.9,13558,False
Latimeria chalumnae,411.9,13559,False
Latimeria chalumnae,411.9,13560,False
Latimeria chalumnae,411.9,13580,False
Latimeria chalumnae,411.9,13586,False
Latimeria chalumnae,411.9,13588,False
Latimeria chalumnae,411.9,13589,False
Latimeria chalumnae,411.9,13594,False
Latimeria chalumnae,411.9,13597,False
Latimeria chalumnae,411.9,13599,False
Latimeria chalumnae,411.9,13600,False
Latimeria chalumnae,411.9,13601,False
Latimeria chalumnae,411.9,13603,False
Latimeria chalumnae,411.9,13604,False
Latimeria chalumnae,411.9,13605,False
Latimeria chalumnae,411.9,13608,False
Latimeria chalumnae,411.9,13609,False
Latimeria chalumnae,411.9,13614,False
Latimeria chalumnae,411.9,13616,False
Latimeria chalumnae,411.9,13619,False
Latimeria chalumnae,411.9,13621,False
Latimeria chalumnae,411.9,13626,False
Latimeria chalumnae,411.9,13628,False
Latimeria chalumnae,411.9,13643,False
Latimeria chalumnae,411.9,13649,False
Latimeria chalumnae,411.9,13653,False
Latimeria chalumnae,411.9,13658,False
Latimeria chalumnae,411.9,13671,False
Latimeria chalumnae,411.9,13678,False
Latimeria chalumnae,411.9,13689,False
Latimeria chalumnae,411.9,13693,False
Latimeria chalumnae,411.9,13698,False
Latimeria chalumnae,411.9,13716,False
Latimeria chalumnae,411.9,13725,False
Latimeria chalumnae,411.9,13727,False
Latimeria chalumnae,411.9,13728,False
Latimeria chalumnae,411.9,13729,False
Latimeria chalumnae,411.9,13732,False
Latimeria chalumnae,411.9,13733,False
Latimeria chalumnae,411.9,13741,False
Latimeria chalumnae,411.9,13748,False
Latimeria chalumnae,411.9,13750,False
Latimeria chalumnae,411.9,13771,False
Latimeria chalumnae,411.9,13772,False
Latimeria chalumnae,411.9,13774,False
Latimeria chalumnae,411.9,13775,False
Latimeria chalumnae,411.9,13776,False
Latimeria chalumnae,411.9,13373,False
Latimeria chalumnae,411.9,13380,False
Latimeria chalumnae,411.9,13386,False
Latimeria chalumnae,411.9,13388,False
Latimeria chalumnae,411.9,13394,False
Latimeria chalumnae,411.9,13396,False
Latimeria chalumnae,411.9,13397,False
Latimeria chalumnae,411.9,13398,False
Latimeria chalumnae,411.9,13399,False
Latimeria chalumnae,411.9,13402,False
Latimeria chalumnae,411.9,13409,False
Latimeria chalumnae,411.9,13411,False
Latimeria chalumnae,411.9,13413,False
Latimeria chalumnae,411.9,13414,False
Latimeria chalumnae,411.9,13415,False
Latimeria chalumnae,411.9,13416,False
Latimeria chalumnae,411.9,13418,False
Latimeria chalumnae,411.9,13420,False
Latimeria chalumnae,411.9,13421,False
Latimeria chalumnae,411.9,13422,False
Latimeria chalumnae,411.9,13423,False
Latimeria chalumnae,411.9,13424,False
Latimeria chalumnae,411.9,13425,False
Latimeria chalumnae,411.9,13426,False
Latimeria chalumnae,411.9,13427,False
Latimeria chalumnae,411.9,13428,False
Latimeria chalumnae,411.9,13429,False
Latimeria chalumnae,411.9,13430,False
Latimeria chalumnae,411.9,13431,False
Latimeria chalumnae,411.9,13432,False
Latimeria chalumnae,411.9,13433,False
Latimeria chalumnae,411.9,13434,False
Latimeria chalumnae,411.9,13435,False
Latimeria chalumnae,411.9,13437,False
Latimeria chalumnae,411.9,13438,False
Latimeria chalumnae,411.9,13439,False
Latimeria chalumnae,411.9,13440,False
Latimeria chalumnae,411.9,13441,False
Latimeria chalumnae,411.9,13442,False
Latimeria chalumnae,411.9,13443,False
Latimeria chalumnae,411.9,13444,False
Latimeria chalumnae,411.9,13445,False
Latimeria chalumnae,411.9,13446,False
Latimeria chalumnae,411.9,13447,False
Latimeria chalumnae,411.9,13448,False
Latimeria chalumnae,411.9,13449,False
Latimeria chalumnae,411.9,13450,False
Latimeria chalumnae,411.9,13451,False
Latimeria chalumnae,411.9,13452,False
Latimeria chalumnae,411.9,13453,False
Latimeria chalumnae,411.9,13454,False
Latimeria chalumnae,411.9,13455,False
Latimeria chalumnae,411.9,13456,False
Latimeria chalumnae,411.9,13457,False
Latimeria chalumnae,411.9,13458,False
Latimeria chalumnae,411.9,13459,False
Latimeria chalumnae,411.9,13460,False
Latimeria chalumnae,411.9,13461,False
Latimeria chalumnae,411.9,13462,False
Latimeria chalumnae,411.9,13463,False
Latimeria chalumnae,411.9,13464,False
Latimeria chalumnae,411.9,13465,False
Latimeria chalumnae,411.9,13466,False
Latimeria chalumnae,411.9,13467,False
Latimeria chalumnae,411.9,13472,False
Latimeria chalumnae,411.9,13474,False
Latimeria chalumnae,411.9,13478,False
Latimeria chalumnae,411.9,13479,False
Latimeria chalumnae,411.9,13483,False
Latimeria chalumnae,411.9,13486,False
Latimeria chalumnae,411.9,13488,False
Latimeria chalumnae,411.9,13497,False
Latimeria chalumnae,411.9,13501,False
Latimeria chalumnae,411.9,13503,False
Latimeria chalumnae,411.9,13504,False
Latimeria chalumnae,411.9,13505,False
Latimeria chalumnae,411.9,13506,False
Latimeria chalumnae,411.9,13507,False
Latimeria chalumnae,411.9,13508,False
Latimeria chalumnae,411.9,13509,False
Latimeria chalumnae,411.9,13510,False
Latimeria chalumnae,411.9,13515,False
Latimeria chalumnae,411.9,13519,False
Latimeria chalumnae,411.9,13520,False
Latimeria chalumnae,411.9,13522,False
Latimeria chalumnae,411.9,13526,False
Latimeria chalumnae,411.9,13528,False
Latimeria chalumnae,411.9,13529,False
Latimeria chalumnae,411.9,13530,False
Latimeria chalumnae,411.9,13532,False
Latimeria chalumnae,411.9,13533,False
Latimeria chalumnae,411.9,13534,False
Latimeria chalumnae,411.9,13535,False
Latimeria chalumnae,411.9,13537,False
Latimeria chalumnae,411.9,13538,False
Latimeria chalumnae,411.9,13541,False
Latimeria chalumnae,411.9,13542,False
Latimeria chalumnae,411.9,13543,False
Latimeria chalumnae,411.9,13544,False
Latimeria chalumnae,411.9,13545,False
Latimeria chalumnae,411.9,13546,False
Latimeria chalumnae,411.9,13547,False
Latimeria chalumnae,411.9,13548,False
Latimeria chalumnae,411.9,13551,False
Latimeria chalumnae,411.9,13552,False
Latimeria chalumnae,411.9,13553,False
Latimeria chalumnae,411.9,13554,False
Latimeria chalumnae,411.9,13555,False
Latimeria chalumnae,411.9,13556,False
Latimeria chalumnae,411.9,13557,False
Latimeria chalumnae,411.9,13561,False
Latimeria chalumnae,411.9,13562,False
Latimeria chalumnae,411.9,13563,False
Latimeria chalumnae,411.9,13564,False
Latimeria chalumnae,411.9,13565,False
Latimeria chalumnae,411.9,13566,False
Latimeria chalumnae,411.9,13567,False
Latimeria chalumnae,411.9,13568,False
Latimeria chalumnae,411.9,13569,False
Latimeria chalumnae,411.9,13570,False
Latimeria chalumnae,411.9,13571,False
Latimeria chalumnae,411.9,13572,False
Latimeria chalumnae,411.9,13573,False
Latimeria chalumnae,411.9,13574,False
Latimeria chalumnae,411.9,13575,False
Latimeria chalumnae,411.9,13576,False
Latimeria chalumnae,411.9,13577,False
Latimeria chalumnae,411.9,13578,False
Latimeria chalumnae,411.9,13579,False
Latimeria chalumnae,411.9,13581,False
Latimeria chalumnae,411.9,13582,False
Latimeria chalumnae,411.9,13583,False
Latimeria chalumnae,411.9,13590,False
Latimeria chalumnae,411.9,13591,False
Latimeria chalumnae,411.9,13598,False
Latimeria chalumnae,411.9,13602,False
Latimeria chalumnae,411.9,13610,False
Latimeria chalumnae,411.9,13613,False
Latimeria chalumnae,411.9,13617,False
Latimeria chalumnae,411.9,13618,False
Latimeria chalumnae,411.9,13620,False
Latimeria chalumnae,411.9,13622,False
Latimeria chalumnae,411.9,13624,False
Latimeria chalumnae,411.9,13625,False
Latimeria chalumnae,411.9,13627,False
Latimeria chalumnae,411.9,13629,False
Latimeria chalumnae,411.9,13630,False
Latimeria chalumnae,411.9,13631,False
Latimeria chalumnae,411.9,13632,False
Latimeria chalumnae,411.9,13633,False
Latimeria chalumnae,411.9,13634,False
Latimeria chalumnae,411.9,13635,False
Latimeria chalumnae,411.9,13636,False
Latimeria chalumnae,411.9,13637,False
Latimeria chalumnae,411.9,13639,False
Latimeria chalumnae,411.9,13640,False
Latimeria chalumnae,411.9,13641,False
Latimeria chalumnae,411.9,13642,False
Latimeria chalumnae,411.9,13644,False
Latimeria chalumnae,411.9,13645,False
Latimeria chalumnae,411.9,13646,False
Latimeria chalumnae,411.9,13647,False
Latimeria chalumnae,411.9,13648,False
Latimeria chalumnae,411.9,13650,False
Latimeria chalumnae,411.9,13651,False
Latimeria chalumnae,411.9,13652,False
Latimeria chalumnae,411.9,13654,False
Latimeria chalumnae,411.9,13655,False
Latimeria chalumnae,411.9,13656,False
Latimeria chalumnae,411.9,13661,False
Latimeria chalumnae,411.9,13662,False
Latimeria chalumnae,411.9,13663,False
Latimeria chalumnae,411.9,13664,False
Latimeria chalumnae,411.9,13665,False
Latimeria chalumnae,411.9,13666,False
Latimeria chalumnae,411.9,13667,False
Latimeria chalumnae,411.9,13668,False
Latimeria chalumnae,411.9,13669,False
Latimeria chalumnae,411.9,13670,False
Latimeria chalumnae,411.9,13672,False
Latimeria chalumnae,411.9,13673,False
Latimeria chalumnae,411.9,13674,False
Latimeria chalumnae,411.9,13675,False
Latimeria chalumnae,411.9,13676,False
Latimeria chalumnae,411.9,13677,False
Latimeria chalumnae,411.9,13679,False
Latimeria chalumnae,411.9,13680,False
Latimeria chalumnae,411.9,13681,False
Latimeria chalumnae,411.9,13682,False
Latimeria chalumnae,411.9,13683,False
Latimeria chalumnae,411.9,13684,False
Latimeria chalumnae,411.9,13685,False
Latimeria chalumnae,411.9,13686,False
Latimeria chalumnae,411.9,13688,False
Latimeria chalumnae,411.9,13690,False
Latimeria chalumnae,411.9,13691,False
Latimeria chalumnae,411.9,13692,False
Latimeria chalumnae,411.9,13694,False
Latimeria chalumnae,411.9,13695,False
Latimeria chalumnae,411.9,13696,False
Latimeria chalumnae,411.9,13697,False
Latimeria chalumnae,411.9,13699,False
Latimeria chalumnae,411.9,13700,False
Latimeria chalumnae,411.9,13701,False
Latimeria chalumnae,411.9,13702,False
Latimeria chalumnae,411.9,13703,False
Latimeria chalumnae,411.9,13704,False
Latimeria chalumnae,411.9,13705,False
Latimeria chalumnae,411.9,13706,False
Latimeria chalumnae,411.9,13707,False
Latimeria chalumnae,411.9,13708,False
Latimeria chalumnae,411.9,13709,False
Latimeria chalumnae,411.9,13710,False
Latimeria chalumnae,411.9,13711,False
Latimeria chalumnae,411.9,13712,False
Latimeria chalumnae,411.9,13713,False
Latimeria chalumnae,411.9,13714,False
Latimeria chalumnae,411.9,13715,False
Latimeria chalumnae,411.9,13717,False
Latimeria chalumnae,411.9,13718,False
Latimeria chalumnae,411.9,13719,False
Latimeria chalumnae,411.9,13721,False
Latimeria chalumnae,411.9,13722,False
Latimeria chalumnae,411.9,13723,False
Latimeria chalumnae,411.9,13724,False
Latimeria chalumnae,411.9,13726,False
Latimeria chalumnae,411.9,13730,False
Latimeria chalumnae,411.9,13731,False
Latimeria chalumnae,411.9,13734,False
Latimeria chalumnae,411.9,13735,False
Latimeria chalumnae,411.9,13736,False
Latimeria chalumnae,411.9,13737,False
Latimeria chalumnae,411.9,13738,False
Latimeria chalumnae,411.9,13739,False
Latimeria chalumnae,411.9,13740,False
Latimeria chalumnae,411.9,13742,False
Latimeria chalumnae,411.9,13743,False
Latimeria chalumnae,411.9,13744,False
Latimeria chalumnae,411.9,13745,False
Latimeria chalumnae,411.9,13746,False
Latimeria chalumnae,411.9,13747,False
Latimeria chalumnae,411.9,13749,False
Latimeria chalumnae,411.9,13751,False
Latimeria chalumnae,411.9,13752,False
Latimeria chalumnae,411.9,13753,False
Latimeria chalumnae,411.9,13754,False
Latimeria chalumnae,411.9,13755,False
Latimeria chalumnae,411.9,13756,False
Latimeria chalumnae,411.9,13757,False
Latimeria chalumnae,411.9,13758,False
Latimeria chalumnae,411.9,13759,False
Latimeria chalumnae,411.9,13761,False
Latimeria chalumnae,411.9,13762,False
Latimeria chalumnae,411.9,13763,False
Latimeria chalumnae,411.9,13764,False
Latimeria chalumnae,411.9,13765,False
Latimeria chalumnae,411.9,13766,False
Latimeria chalumnae,411.9,13767,False
Latimeria chalumnae,411.9,13768,False
Latimeria chalumnae,411.9,13769,False
Latimeria chalumnae,411.9,13770,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,3268,False
Nanorana parkeri,355.7,14920,False
Nanorana parkeri,355.7,10886,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,3239,False
Nanorana parkeri,355.7,1216,False
Nanorana parkeri,355.7,1458,False
Nanorana parkeri,355.7,12672,False
Nanorana parkeri,355.7,12512,False
Nanorana parkeri,355.7,4609,False
Nanorana parkeri,355.7,13275,False
Nanorana parkeri,355.7,8380,False
Nanorana parkeri,355.7,6036,False
Nanorana parkeri,355.7,7061,False
Nanorana parkeri,355.7,11468,False
Nanorana parkeri,355.7,6061,False
Nanorana parkeri,355.7,1290,False
Nanorana parkeri,355.7,13760,False
Nanorana parkeri,355.7,7074,False
Nanorana parkeri,355.7,7078,False
Nanorana parkeri,355.7,7083,False
Nanorana parkeri,355.7,7087,False
Nanorana parkeri,355.7,7100,False
Nanorana parkeri,355.7,7106,False
Nanorana parkeri,355.7,7108,False
Nanorana parkeri,355.7,7114,False
Nanorana parkeri,355.7,7121,False
Nanorana parkeri,355.7,7147,False
Nanorana parkeri,355.7,7877,False
Nanorana parkeri,355.7,8199,False
Nanorana parkeri,355.7,8259,False
Nanorana parkeri,355.7,8280,False
Nanorana parkeri,355.7,8364,False
Nanorana parkeri,355.7,8366,False
Nanorana parkeri,355.7,13379,False
Nanorana parkeri,355.7,13383,False
Nanorana parkeri,355.7,13387,False
Nanorana parkeri,355.7,13392,False
Nanorana parkeri,355.7,13405,False
Nanorana parkeri,355.7,13406,False
Nanorana parkeri,355.7,13468,False
Nanorana parkeri,355.7,13470,False
Nanorana parkeri,355.7,13473,False
Nanorana parkeri,355.7,13477,False
Nanorana parkeri,355.7,13491,False
Nanorana parkeri,355.7,13496,False
Nanorana parkeri,355.7,13514,False
Nanorana parkeri,355.7,13516,False
Nanorana parkeri,355.7,13517,False
Nanorana parkeri,355.7,13518,False
Nanorana parkeri,355.7,13524,False
Nanorana parkeri,355.7,13584,False
Nanorana parkeri,355.7,13585,False
Nanorana parkeri,355.7,13587,False
Nanorana parkeri,355.7,13592,False
Nanorana parkeri,355.7,13593,False
Nanorana parkeri,355.7,13595,False
Nanorana parkeri,355.7,13596,False
Nanorana parkeri,355.7,13606,False
Nanorana parkeri,355.7,13607,False
Nanorana parkeri,355.7,13611,False
Nanorana parkeri,355.7,13612,False
Nanorana parkeri,355.7,13615,False
Nanorana parkeri,355.7,13623,False
Nanorana parkeri,355.7,13638,False
Nanorana parkeri,355.7,13657,False
Nanorana parkeri,355.7,13659,False
Nanorana parkeri,355.7,13660,False
Nanorana parkeri,355.7,13687,False
Nanorana parkeri,355.7,13720,False
Nanorana parkeri,355.7,13773,False
Nanorana parkeri,355.7,7073,False
Nanorana parkeri,355.7,7081,False
Nanorana parkeri,355.7,7091,False
Nanorana parkeri,355.7,7092,False
Nanorana parkeri,355.7,7101,False
Nanorana parkeri,355.7,7115,False
Nanorana parkeri,355.7,7130,False
Nanorana parkeri,355.7,7144,False
Nanorana parkeri,355.7,8342,False
Nanorana parkeri,355.7,13372,False
Nanorana parkeri,355.7,13374,False
Nanorana parkeri,355.7,13375,False
Nanorana parkeri,355.7,13376,False
Nanorana parkeri,355.7,13377,False
Nanorana parkeri,355.7,13378,False
Nanorana parkeri,355.7,13381,False
Nanorana parkeri,355.7,13382,False
Nanorana parkeri,355.7,13384,False
Nanorana parkeri,355.7,13385,False
Nanorana parkeri,355.7,13389,False
Nanorana parkeri,355.7,13390,False
Nanorana parkeri,355.7,13391,False
Nanorana parkeri,355.7,13393,False
Nanorana parkeri,355.7,13395,False
Nanorana parkeri,355.7,13400,False
Nanorana parkeri,355.7,13401,False
Nanorana parkeri,355.7,13403,False
Nanorana parkeri,355.7,13404,False
Nanorana parkeri,355.7,13407,False
Nanorana parkeri,355.7,13408,False
Nanorana parkeri,355.7,13410,False
Nanorana parkeri,355.7,13412,False
Nanorana parkeri,355.7,13417,False
Nanorana parkeri,355.7,13419,False
Nanorana parkeri,355.7,13436,False
Nanorana parkeri,355.7,13469,False
Nanorana parkeri,355.7,13471,False
Nanorana parkeri,355.7,13475,False
Nanorana parkeri,355.7,13476,False
Nanorana parkeri,355.7,13480,False
Nanorana parkeri,355.7,13481,False
Nanorana parkeri,355.7,13482,False
Nanorana parkeri,355.7,13484,False
Nanorana parkeri,355.7,13485,False
Nanorana parkeri,355.7,13487,False
Nanorana parkeri,355.7,13489,False
Nanorana parkeri,355.7,13490,False
Nanorana parkeri,355.7,13492,False
Nanorana parkeri,355.7,13493,False
Nanorana parkeri,355.7,13494,False
Nanorana parkeri,355.7,13495,False
Nanorana parkeri,355.7,13498,False
Nanorana parkeri,355.7,13499,False
Nanorana parkeri,355.7,13500,False
Nanorana parkeri,355.7,13502,False
Nanorana parkeri,355.7,13511,False
Nanorana parkeri,355.7,13512,False
Nanorana parkeri,355.7,13513,False
Nanorana parkeri,355.7,13521,False
Nanorana parkeri,355.7,13523,False
Nanorana parkeri,355.7,13525,False
Nanorana parkeri,355.7,13527,False
Nanorana parkeri,355.7,13531,False
Nanorana parkeri,355.7,13536,False
Nanorana parkeri,355.7,13539,False
Nanorana parkeri,355.7,13540,False
Nanorana parkeri,355.7,13549,False
Nanorana parkeri,355.7,13550,False
Nanorana parkeri,355.7,13558,False
Nanorana parkeri,355.7,13559,False
Nanorana parkeri,355.7,13560,False
Nanorana parkeri,355.7,13580,False
Nanorana parkeri,355.7,13586,False
Nanorana parkeri,355.7,13588,False
Nanorana parkeri,355.7,13589,False
Nanorana parkeri,355.7,13594,False
Nanorana parkeri,355.7,13597,False
Nanorana parkeri,355.7,13599,False
Nanorana parkeri,355.7,13600,False
Nanorana parkeri,355.7,13601,False
Nanorana parkeri,355.7,13603,False
Nanorana parkeri,355.7,13604,False
Nanorana parkeri,355.7,13605,False
Nanorana parkeri,355.7,13608,False
Nanorana parkeri,355.7,13609,False
Nanorana parkeri,355.7,13614,False
Nanorana parkeri,355.7,13616,False
Nanorana parkeri,355.7,13619,False
Nanorana parkeri,355.7,13621,False
Nanorana parkeri,355.7,13626,False
Nanorana parkeri,355.7,13628,False
Nanorana parkeri,355.7,13643,False
Nanorana parkeri,355.7,13649,False
Nanorana parkeri,355.7,13653,False
Nanorana parkeri,355.7,13658,False
Nanorana parkeri,355.7,13671,False
Nanorana parkeri,355.7,13678,False
Nanorana parkeri,355.7,13689,False
Nanorana parkeri,355.7,13693,False
Nanorana parkeri,355.7,13698,False
Nanorana parkeri,355.7,13716,False
Nanorana parkeri,355.7,13725,False
Nanorana parkeri,355.7,13727,False
Nanorana parkeri,355.7,13728,False
Nanorana parkeri,355.7,13729,False
Nanorana parkeri,355.7,13732,False
Nanorana parkeri,355.7,13733,False
Nanorana parkeri,355.7,13741,False
Nanorana parkeri,355.7,13748,False
Nanorana parkeri,355.7,13750,False
Nanorana parkeri,355.7,13771,False
Nanorana parkeri,355.7,13772,False
Nanorana parkeri,355.7,13774,False
Nanorana parkeri,355.7,13775,False
Nanorana parkeri,355.7,13776,False
Nanorana parkeri,355.7,13373,False
Nanorana parkeri,355.7,13380,False
Nanorana parkeri,355.7,13386,False
Nanorana parkeri,355.7,13388,False
Nanorana parkeri,355.7,13394,False
Nanorana parkeri,355.7,13396,False
Nanorana parkeri,355.7,13397,False
Nanorana parkeri,355.7,13398,False
Nanorana parkeri,355.7,13399,False
Nanorana parkeri,355.7,13402,False
Nanorana parkeri,355.7,13409,False
Nanorana parkeri,355.7,13411,False
Nanorana parkeri,355.7,13413,False
Nanorana parkeri,355.7,13414,False
Nanorana parkeri,355.7,13415,False
Nanorana parkeri,355.7,13416,False
Nanorana parkeri,355.7,13418,False
Nanorana parkeri,355.7,13420,False
Nanorana parkeri,355.7,13421,False
Nanorana parkeri,355.7,13422,False
Nanorana parkeri,355.7,13423,False
Nanorana parkeri,355.7,13424,False
Nanorana parkeri,355.7,13425,False
Nanorana parkeri,355.7,13426,False
Nanorana parkeri,355.7,13427,False
Nanorana parkeri,355.7,13428,False
Nanorana parkeri,355.7,13429,False
Nanorana parkeri,355.7,13430,False
Nanorana parkeri,355.7,13431,False
Nanorana parkeri,355.7,13432,False
Nanorana parkeri,355.7,13433,False
Nanorana parkeri,355.7,13434,False
Nanorana parkeri,355.7,13435,False
Nanorana parkeri,355.7,13437,False
Nanorana parkeri,355.7,13438,False
Nanorana parkeri,355.7,13439,False
Nanorana parkeri,355.7,13440,False
Nanorana parkeri,355.7,13441,False
Nanorana parkeri,355.7,13442,False
Nanorana parkeri,355.7,13443,False
Nanorana parkeri,355.7,13444,False
Nanorana parkeri,355.7,13445,False
